fieldID	zoom	run	rerun	camcol	field	stripe	strip	a	b	c	d	e	f	node	incl	raMin	raMax	decMin	decMax	mu	nu	ra	dec	cx	cy	cz
1191503432597635072	50	4623	137	1	164	23	S	183.920135498047	0.00010998772631865	-5.68815359258679E-08	-1.26492726802826	-4.55837395607617E-10	0.000109986605821177	94.997581	32.499336	183.929375101807	183.734653746794	31.2280805018426	31.4550049757362	183.920485349727	-1.26556668725686	183.832077302129	31.3415939632194	-0.852171910935825	-0.0570804107973141	0.52013927069122
1191503432597700608	0	4623	137	1	165	23	S	184.06982421875	0.000110011540527921	-5.70105207486904E-08	-1.26493525505066	4.85507811731623E-09	0.00010998726793332	94.997581	32.499336	184.10442160706	183.91008541828	31.2297177348764	31.4563868175102	184.070174107203	-1.26557809973041	184.007317782853	31.3431037247299	-0.851979670974292	-0.0596855696214001	0.52016177582124
1191503432597700608	12	4623	137	1	165	23	S	184.06982421875	0.000110011540527921	-5.70105207486904E-08	-1.26493525505066	4.85507811731623E-09	0.00010998726793332	94.997581	32.499336	184.10442160706	183.91008541828	31.2297177348764	31.4563868175102	184.070174107203	-1.26557809973041	184.007317782853	31.3431037247299	-0.851979670974292	-0.0596855696214001	0.52016177582124
1191503432597700608	25	4623	137	1	165	23	S	184.06982421875	0.000110011540527921	-5.70105207486904E-08	-1.26493525505066	4.85507811731623E-09	0.00010998726793332	94.997581	32.499336	184.10442160706	183.91008541828	31.2297177348764	31.4563868175102	184.070174107203	-1.26557809973041	184.007317782853	31.3431037247299	-0.851979670974292	-0.0596855696214001	0.52016177582124
1191503432597700608	50	4623	137	1	165	23	S	184.06982421875	0.000110011540527921	-5.70105207486904E-08	-1.26493525505066	4.85507811731623E-09	0.00010998726793332	94.997581	32.499336	184.10442160706	183.91008541828	31.2297177348764	31.4563868175102	184.070174107203	-1.26557809973041	184.007317782853	31.3431037247299	-0.851979670974292	-0.0596855696214001	0.52016177582124
1191503432597766144	0	4623	137	1	166	23	S	184.219543457031	0.000110009656054899	-5.75469272234841E-08	-1.26493358612061	3.18245119146354E-09	0.000109987646283116	94.997581	32.499336	184.2794732359	184.085567030451	31.2311194139722	31.4575210685129	184.219893382683	-1.26557985256084	184.182576316858	31.3443717547443	-0.851781635570624	-0.0622905148876982	0.520180677322464
1191503432597766144	12	4623	137	1	166	23	S	184.219543457031	0.000110009656054899	-5.75469272234841E-08	-1.26493358612061	3.18245119146354E-09	0.000109987646283116	94.997581	32.499336	184.2794732359	184.085567030451	31.2311194139722	31.4575210685129	184.219893382683	-1.26557985256084	184.182576316858	31.3443717547443	-0.851781635570624	-0.0622905148876982	0.520180677322464
1191503432597766144	25	4623	137	1	166	23	S	184.219543457031	0.000110009656054899	-5.75469272234841E-08	-1.26493358612061	3.18245119146354E-09	0.000109987646283116	94.997581	32.499336	184.2794732359	184.085567030451	31.2311194139722	31.4575210685129	184.219893382683	-1.26557985256084	184.182576316858	31.3443717547443	-0.851781635570624	-0.0622905148876982	0.520180677322464
1191503432597766144	50	4623	137	1	166	23	S	184.219543457031	0.000110009656054899	-5.75469272234841E-08	-1.26493358612061	3.18245119146354E-09	0.000109987646283116	94.997581	32.499336	184.2794732359	184.085567030451	31.2311194139722	31.4575210685129	184.219893382683	-1.26557985256084	184.182576316858	31.3443717547443	-0.851781635570624	-0.0622905148876982	0.520180677322464
1191503432597831680	0	4623	137	1	167	23	S	184.369262695313	0.000110011831566226	-5.70083216189232E-08	-1.26494121551514	-1.57644108877975E-09	0.000109989101474639	94.997581	32.499336	184.454528832635	184.261049160516	31.2322659715113	31.458397247366	184.369612658149	-1.26559089930296	184.357844088651	31.345383280477	-0.851577946852073	-0.0648951213200567	0.520195755138451
1191503432597831680	12	4623	137	1	167	23	S	184.369262695313	0.000110011831566226	-5.70083216189232E-08	-1.26494121551514	-1.57644108877975E-09	0.000109989101474639	94.997581	32.499336	184.454528832635	184.261049160516	31.2322659715113	31.458397247366	184.369612658149	-1.26559089930296	184.357844088651	31.345383280477	-0.851577946852073	-0.0648951213200567	0.520195755138451
1191503432597831680	25	4623	137	1	167	23	S	184.369262695313	0.000110011831566226	-5.70083216189232E-08	-1.26494121551514	-1.57644108877975E-09	0.000109989101474639	94.997581	32.499336	184.454528832635	184.261049160516	31.2322659715113	31.458397247366	184.369612658149	-1.26559089930296	184.357844088651	31.345383280477	-0.851577946852073	-0.0648951213200567	0.520195755138451
1191503432597831680	50	4623	137	1	167	23	S	184.369262695313	0.000110011831566226	-5.70083216189232E-08	-1.26494121551514	-1.57644108877975E-09	0.000109989101474639	94.997581	32.499336	184.454528832635	184.261049160516	31.2322659715113	31.458397247366	184.369612658149	-1.26559089930296	184.357844088651	31.345383280477	-0.851577946852073	-0.0648951213200567	0.520195755138451
1191503432597897216	0	4623	137	1	168	23	S	184.518966674805	0.000110008455521893	-5.54498100768797E-08	-1.26493942737579	9.31443988605452E-09	0.000109989123302512	94.997581	32.499336	184.629555956107	184.436516060262	31.2331761386851	31.4590567765756	184.519316675234	-1.26559252372739	184.533093646798	31.3461682625669	-0.851368365415533	-0.0674989563795755	0.520207455980161
1191503432597897216	12	4623	137	1	168	23	S	184.518966674805	0.000110008455521893	-5.54498100768797E-08	-1.26493942737579	9.31443988605452E-09	0.000109989123302512	94.997581	32.499336	184.629555956107	184.436516060262	31.2331761386851	31.4590567765756	184.519316675234	-1.26559252372739	184.533093646798	31.3461682625669	-0.851368365415533	-0.0674989563795755	0.520207455980161
1191503432597897216	25	4623	137	1	168	23	S	184.518966674805	0.000110008455521893	-5.54498100768797E-08	-1.26493942737579	9.31443988605452E-09	0.000109989123302512	94.997581	32.499336	184.629555956107	184.436516060262	31.2331761386851	31.4590567765756	184.519316675234	-1.26559252372739	184.533093646798	31.3461682625669	-0.851368365415533	-0.0674989563795755	0.520207455980161
